Session ID,Title,Format,Type,Estimated Capacity,Subject/Topic,Sponsor,Start Time,End Time,Room ID,Date
7888,Where Does CanLit End?,Panel,Forum Sessions,20,Other Literature in English: Canadian,['LLC Canadian'],10:15:00,11:30:00,59,1/11
7904,"Melville, Gesture, Love",Panel,Allied Organizations,200,American Literature: Before 1900,['Melville Society'],10:15:00,11:30:00,66,1/11
7915,Publishing for the Digital Humanities,Roundtable,Allied Organizations,100,The Profession: Publishing and Editing,['Council of Editors of Learned Journals'],10:15:00,11:30:00,8,1/11
7919,Sound Disruptions,Panel,Forum Sessions,50,Other Literature in English: General,['TC Postcolonial Studies'],13:45:00,15:00:00,59,1/11
7924,The Discourses of Luxury in Seventeenth-Century France,Panel,Forum Sessions,25,French Literature: Seventeenth Century,['LLC 17th-Century French'],12:00:00,13:15:00,59,1/11
7937,Visualizing Catalunya,Panel,Forum Sessions,40,Catalan Literature: Catalan Literature,['LLC 18th- and 19th-Century Spanish and Iberian'],15:30:00,16:45:00,59,1/11
7938,Vegetal Imaginations: Plants in German Literature and Culture,Panel,Allied Organizations,30,German Literature: General,['Women in German'],17:15:00,18:30:00,59,1/11
7941,"Satire, Censorship, Authority",Panel,Forum Sessions,25,German Literature: Nineteenth and Early Twentieth Centuries,['LLC 19th- and Early-20th-Century German'],08:30:00,09:45:00,60,1/11
7944,Black Feminisms Now,Panel,Forum Sessions,25,"Genre, Theory, Method: Literary Criticism and Theory",['TC Women’s and Gender Studies'],19:00:00,20:15:00,59,1/11
7946,Transnational and Global Cinema in Portuguese,Panel,Forum Sessions,24,"Portuguese, Luso-Brazilian, and Lusophone Literatures: Portuguese, Luso-Brazilian, and Lusophone Literatures",['LLC Luso-Brazilian'],10:15:00,11:30:00,60,1/11
7951,"Threats to Brazilian Academia, Culture, and Education under Bolsonaro’s Government",Panel,Forum Sessions,25,"Portuguese, Luso-Brazilian, and Lusophone Literatures: Portuguese, Luso-Brazilian, and Lusophone Literatures",['LLC Luso-Brazilian'],12:00:00,13:15:00,60,1/11
7952,Invisible Labor: The Domestic Worker in Mexican and Latinx Cultural Production,Roundtable,Forum Sessions,35,Latin American Literature: Latin American Literature,['LLC Mexican'],12:00:00,13:15:00,3,1/11
7954,"Confederate Monuments, Memory, and Memorial",Roundtable,Forum Sessions,40,American Literature: General,['LLC 19th-Century American'],12:00:00,13:15:00,7,1/11
7955,Intersections between Second-Language Studies and STEM,Panel,Forum Sessions,30,Teaching: Language,['LSL Second-Language Teaching and Learning'],13:45:00,15:00:00,60,1/11
